city,description,temp,feels_like_temp,min_temp,max_temp,humidity,clouds
Lucknow,haze,91.38,92.79,91.38,91.38,40,0
Bengaluru,overcast clouds,89.62,86.92,88.52,91.04,27,91
Patna,clear sky,91.33,90.95,91.33,91.33,35,0
Bhopal,clear sky,95.23,90.63,95.23,95.23,13,0
